,rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N,n_weeks,candidate_pid
350,India SWE Recruiting,2023-08-06,,,2.0,2.0,IN_PROGRESS,2,2,[0 1 2],e6ec2ec9956707c6
351,India SWE Recruiting,2023-08-06,,,2.0,2.0,IN_PROGRESS,2,2,[0 1 2],0bc070584b2b1e3f
354,India SWE Recruiting,2023-06-11,,,,,IN_PROGRESS,1,2,[0 1],9fdad314a9bd2ce8
355,India SWE Recruiting,2023-06-11,,,,,IN_PROGRESS,1,2,[0 1],624911967ad9a61f
356,India SWE Recruiting,2022-07-10,5.0,6.0,,,IN_PROGRESS,25,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25]",eb0ce885359fadde
357,India SWE Recruiting,2022-07-24,6.0,11.0,54.0,55.0,IN_PROGRESS,55,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55]",37ee9d17a689a67a
358,India SWE Recruiting,2023-07-16,,,,,IN_PROGRESS,1,4,[0 1],343f504b44fda7cd
359,India SWE Recruiting,2023-07-16,,,,,IN_PROGRESS,1,4,[0 1],038770aa07f58ad8
360,India SWE Recruiting,2023-07-16,,,,,IN_PROGRESS,1,4,[0 1],e889792bbb69cfb5
361,India SWE Recruiting,2023-07-16,,,,,IN_PROGRESS,1,4,[0 1],7fd9bf1ce6844687
362,India SWE Recruiting,2023-06-18,,6.0,9.0,9.0,IN_PROGRESS,9,1,[0 1 2 3 4 5 6 7 8 9],85d71202aff07ee8
364,India SWE Recruiting,2023-05-21,6.0,,,,IN_PROGRESS,1,1,[0 1],e2673526acbbfe9d
366,India SWE Recruiting,2023-04-23,,,,,IN_PROGRESS,12,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],cdf633c8a5c009f0
369,India SWE Recruiting,2023-07-23,5.0,,,,IN_PROGRESS,0,1,[0],c4d7ba29b95265ab
375,India SWE Recruiting,2022-06-19,,1.0,,,IN_PROGRESS,16,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],b42611356ef8095c
377,India SWE Recruiting,2022-12-18,7.0,37.0,,,IN_PROGRESS,21,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],60ef27ec879b14a0
385,India SWE Recruiting,2022-05-15,,5.0,60.0,60.0,IN_PROGRESS,60,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60]",addff3cb5154db70
386,India SWE Recruiting,2022-07-24,6.0,13.0,,,IN_PROGRESS,42,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42]",5d4a3acdfc8c75ed
390,India SWE Recruiting,2022-11-06,4.0,17.0,,,IN_PROGRESS,37,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37]",6d461b2f51e6720a
392,India SWE Recruiting,2022-07-03,,4.0,52.0,52.0,IN_PROGRESS,52,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52]",9456207f8974b8e4
398,India SWE Recruiting,2022-06-26,,2.0,,,IN_PROGRESS,50,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50]",719848a2b87c2bff
